ID," "" Text""",,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14,,,,,,,
3.02536E+14," ""Expanded Cheat Menu""",,,,,,
3.02536E+14," ""ECM""",,,,,,
3.02536E+14," ""Setting speed to a non integer (e.g 2.5) crashes the game!""",,,,,,
3.02536E+14," ""All Done!""",,,,,,
3.02536E+14," ""Completed""",,,,,,
3.02536E+14," ""Update Text""",,,,,,
3.02536E+14," ""Export""",,,,,,
3.02536E+14," ""Will take some time for 25K and up.""",,,,,,
3.02536E+14," ""Restart to disable.""",,,,,,
3.02536E+14," ""Delay in ms between updating text.""",,,,,,
3.02536E+14," ""Works after colonist idle.""",,,,,,
3.02536E+14," ""Activated when colonist changes job.""",,,,,,
3.02536E+14," ""Works after daily update.""",,,,,,
3.02536E+14," ""Works after in-game hour.""",,,,,,
3.02536E+14," ""Function Results""",,,,,,
3.02536E+14," ""Radius""",,,,,,
3.02536E+14," ""Auto-Attach""",,,,,,
3.02536E+14," ""Activate any auto-attach spots this entity has.""",,,,,,
3.02536E+14," ""Index""",,,,,,
3.02536E+14," ""Toggle Boolean""",,,,,,
3.02536E+14," ""Clipboard""",,,,,,
3.02536E+14," ""Race""",,,,,,
3.02536E+14," ""CSV""",,,,,,
3.02536E+14," ""Used Terrain Textures""",,,,,,
3.02536E+14," ""Test Locale File""",,,,,,
3.02536E+14," ""Tools""",,,,,,
3.02536E+14," ""Nothing left""",,,,,,
3.02536E+14," ""Not a valid object""",,,,,,
3.02536E+14," ""Lock""",,,,,,
3.02536E+14," ""Unlock""",,,,,,
3.02536E+14," ""DTM Slots""",,,,,,
3.02536E+14," ""Write Console Log""",,,,,,
3.02536E+14," ""Write console log to <green>%slogs/ConsoleLog.log</green> (updated every 5 seconds).""",,,,,,
3.02536E+14," ""Image Viewer""",,,,,,
3.02536E+14," ""Sites""",,,,,,
3.02536E+14," ""Edit Flags""",,,,,,
3.02536E+14," ""Shows list of flags set for selected object.""",,,,,,
3.02536E+14," ""Entity Spots""",,,,,,
3.02536E+14," ""Shows list of attach spots for use with .ent files.""",,,,,,
3.02536E+14," ""3D""",,,,,,
3.02536E+14," ""Fiddle with object angle/axis/pos and so forth.""",,,,,,
3.02536E+14," ""Go to Obj""",,,,,,
3.02536E+14," ""View/select object on map.""",,,,,,
3.02536E+14," ""Trans""",,,,,,
3.02536E+14," ""Spawned entity object""",,,,,,
3.02536E+14," ""Delete Small Rocks""",,,,,,
3.02536E+14," ""Delete Large Rocks""",,,,,,
3.02536E+14," ""New""",,,,,,
3.02536E+14," ""Map""",,,,,,
3.02536E+14," ""<green>%s</green> is a Dome with stuff still in it (crash if deleted).""",,,,,,
3.02536E+14," ""Lua""",,,,,,
3.02536E+14," ""Auto-refresh list every second.""",,,,,,
3.02536E+14," ""Wrap Lines""",,,,,,
3.02536E+14," ""Wrap lines or show horizontal scrollbar.""",,,,,,
3.02536E+14," ""Examine""",,,,,,
3.02536E+14," ""Examine Object""",,,,,,
3.02536E+14," ""Console""",,,,,,
3.02536E+14," ""<color ChoGGi_red>%s</color> is blocked by SM function blacklist; use ECM HelperMod to bypass or tell the devs that ECM is awesome and it should have Über access ;)""",,,,,,
3.02536E+14," ""Find""",,,,,,
3.02536E+14," ""Search for text within <green>%s</green>.""",,,,,,
3.02536E+14," ""Everything""",,,,,,
3.02536E+14," ""Last chance before deletion!""",,,,,,
3.02536E+14," ""MaleOrFemale""",,,,,,
3.02536E+14," ""Drone Carry Amount""",,,,,,
3.02536E+14," ""Current capacity""",,,,,,
3.02536E+14," ""Borked Transport Pathing""",,,,,,
3.02536E+14," ""Presets""",,,,,,
3.02536E+14," ""Handle""",,,,,,
3.02536E+14," ""Interval""",,,,,,
3.02536E+14," ""Spawned""",,,,,,
